"SensorName","Date","Time","User","SensorID","delta_t","Unit","Value","Unit.1","Mode","Phase","Unit.2","Amplitude","Unit.3","Temp","Unit.4","patm","Unit.5","Salinity","Unit.6","Error","Cal0","Unit.7","T0","Unit.8","O2.2nd","Unit.9","Cal2nd","Unit.10","T2nd","Unit.11","CalPressure","Unit.12","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal.Mode","SignalLEDCurrent","ReferenceLEDCurrent","ReferenceAmplitude","DeviceSerial","FwVersion","SensorType","BatchID","Calibration.Date","Sensor.lot","PreSens.calibrated.Sensor","Battery.Voltage","Unit.13","Sequence","FileName","MOATS","Treatment","LoadingLocation","GlassVialNumber","Species","TelsonLength..mm.","Size","TrialID"
"KrilLR11             ","28-Oct-19","15:34:11","default              ",159906405,69.17,"min","8.115","mg/l","humid",29.836,"deg",15968,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38497,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.129,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01"
"KrilLR11             ","28-Oct-19","15:04:11","default              ",159906405,39.17,"min","8.465","mg/l","humid",29.367,"deg",11008,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38674,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.138,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01"
"KrilLR11             ","28-Oct-19","15:04:12","default              ",159906405,39.18,"min","8.441","mg/l","humid",29.399,"deg",13277,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38645,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.131,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01"
"KrilLR11             ","28-Oct-19","15:04:13","default              ",159906405,39.2,"min","8.551","mg/l","humid",29.256,"deg",9411,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38641,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.128,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01"
"KrilLR11             ","28-Oct-19","15:04:14","default              ",159906405,39.22,"min","8.491","mg/l","humid",29.334,"deg",10424,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38640,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.13,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01"
"KrilLR11             ","28-Oct-19","15:04:15","default              ",159906405,39.23,"min","8.598","mg/l","humid",29.196,"deg",7361,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38636,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.129,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01"
"KrilLR11             ","28-Oct-19","16:19:09","default              ",159906405,114.13,"min","7.705","mg/l","humid",30.417,"deg",13780,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38242,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.104,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01"
"KrilLR11             ","28-Oct-19","16:19:10","default              ",159906405,114.15,"min","7.672","mg/l","humid",30.465,"deg",14263,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38231,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.102,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01"
"KrilLR11             ","28-Oct-19","16:19:11","default              ",159906405,114.17,"min","7.654","mg/l","humid",30.492,"deg",16824,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38226,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.103,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01"
"KrilLR11             ","28-Oct-19","15:19:08","default              ",159906405,54.12,"min","8.899","mg/l","humid",28.818,"deg",3676,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38600,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.136,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01"
